,zip,name,school-summary,type,level-codes,level,street,city,state,phone,county,lat,lon,district-name,district-id,rating,lat_lon,new rating
1,30303,Graduation Achievement Center Charter High School,"Graduation Achievement Center Charter High School, a charter school located in Atlanta, GA, serves grades 9-12 in the State Charter Schools Provost Academy Georgia.",charter,h,"9,10,11,12",235 Peachtree St NW,Atlanta,GA,(844) 776-8678,Fulton,33.760502,-84.387169,State Charter Schools Provost Academy Georgia,250.0,,"(33.760502, -84.387169)",n/a
2,30303,Wellspring Living,"Wellspring Living, a public school located in Atlanta, GA, serves grades 8-9, 11 in the Fulton County School District.",public,"m,h","8,9,11",100 Edgewood Avenue Southeast,Atlanta,GA,(678) 246-9998,Fulton County,33.754742,-84.385574,Fulton County School District,73.0,,"(33.754742, -84.385574)",n/a
3,30303,The Life School of Atlanta,"The Life School of Atlanta, a private school located in Atlanta, GA, serves grades 9-12 in the .",private,h,"9,10,11,12",190 Pryor Street Southwest,Atlanta,GA,(404) 343-0064,Fulton County,33.749504,-84.39209,,0.0,,"(33.749504, -84.39209)",B-
5,30334,K12 International Academy ,"K12 International Academy , a private school located in Atlanta, GA, serves grades K-12 in the .",private,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10,11,12",205 Jesse Hill Jr. Drive SE ,Atlanta,GA,(877) 512-7748,Fulton,33.749733,-84.385696,,0.0,,"(33.749733, -84.385696)",C+
6,30334,The Keystone School ,"The Keystone School , a private school located in Atlanta, GA, serves grades 6-12 in the .",private,"m,h","6,7,8,9,10,11,12",205 Jesse Hill Jr. Drive SE,Atlanta,GA,(800) 255-4937,Fulton,33.749733,-84.385696,,0.0,,"(33.749733, -84.385696)",A+
13,30312,The New School,"The New School, a private school located in Atlanta, GA, serves grades 9-12 in the .",private,h,"9,10,11,12",655 Memorial Drive Southeast,Atlanta,GA,(404) 500-9753,Fulton County,33.746407,-84.366058,,0.0,,"(33.746407, -84.366058)",n/a
14,30312,The New School Atlanta,"The New School Atlanta, a private school located in Atlanta, GA, serves grades 9-12 in the .",private,h,"9,10,11,12",655 Memorial Drive Southeast,Atlanta,GA,(404) 500-9753,Fulton County,33.746407,-84.366058,,0.0,,"(33.746407, -84.366058)",n/a
20,30308,Cristo Rey Atlanta Jesuit High School,"Cristo Rey Atlanta Jesuit High School, a private school located in Atlanta, GA, serves grades 9-12 in the .",private,h,"9,10,11,12",222 Piedmont Avenue Northeast,Atlanta,GA,(404) 637-2800,Fulton County,33.760597,-84.382477,,0.0,,"(33.760597, -84.382477)",A-
24,30314,KIPP Atlanta Collegiate,"KIPP Atlanta Collegiate, a charter school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 4 out of 10, based on a variety of school quality measures.",charter,h,"9,10,11,12",98 Anderson Avenue Northwest,Atlanta,GA,(404) 326-4858,Fulton County,33.756157,-84.451271,Atlanta Public Schools,4.0,4,"(33.756157, -84.451271)",A-
26,30314,Booker T. Washington High School,"Booker T. Washington High School, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 3 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",45 Whitehouse Drive Southwest,Atlanta,GA,(404) 802-4600,Fulton County,33.753689,-84.420685,Atlanta Public Schools,4.0,3,"(33.753689, -84.420685)",B+
30,30314,Bright Futures Academy,"Bright Futures Academy, a private school located in Atlanta, GA, serves grades 6-12 in the .",private,"m,h","6,7,8,9,10,11,12",1300 Joseph E. Boone Boulevard Northwest,Atlanta,GA,(404) 963-6804,Fulton County,33.762287,-84.429901,,0.0,,"(33.762287, -84.429901)",D-
34,30310,Heavenly Institute Of Learning,"Heavenly Institute Of Learning, a private school located in Atlanta, GA, serves grades 3-10 in the .",private,"e,m,h","3,4,5,6,7,8,9,10",Po Box 11307,Atlanta,GA,(404) 753-5297,Fulton,33.732189,-84.422516,,0.0,,"(33.732189, -84.422516)",C
43,30310,Tamu S. Kanyama Prep Academy,"Tamu S. Kanyama Prep Academy, a private school located in Atlanta, GA, serves grades 9-11 in the .",private,h,"9,10,11",967 Dewey Street Southwest,Atlanta,GA,(404) 669-6884,Fulton County,33.728687,-84.407623,,0.0,,"(33.728687, -84.407623)",n/a
47,30306,Laurel Heights Academy (Hospital),"Laurel Heights Academy (Hospital), a private school located in Atlanta, GA, serves grades 2-11 in the .",private,"e,m,h","2,3,4,5,6,7,8,9,10,11",934 Briarcliff Road Northeast,Atlanta,GA,(404) 888-7895,DeKalb,33.780273,-84.345589,,0.0,,"(33.780273, -84.345589)",C-
50,30306,Uhs Of Laurel Heights,"Uhs Of Laurel Heights, a public school located in Atlanta, GA, serves grades 1-3, 6-12 in the Dekalb County School District.",public,"e,m,h","1,2,3,6,7,8,9,10,11,12",934 Briarcliff Road Northeast,Atlanta,GA,(404) 888-7876,Dekalb County,33.780067,-84.345291,Dekalb County School District,55.0,,"(33.780067, -84.345291)",A
51,30306,Hillside Conant School,"Hillside Conant School, a public school located in Atlanta, GA, serves grades 1-12 in the Atlanta Public Schools.",public,"e,m,h","1,2,3,4,5,6,7,8,9,10,11,12",690 Courtenay Drive Northeast,Atlanta,GA,(404) 875-4551,Fulton County,33.790104,-84.364876,Atlanta Public Schools,4.0,,"(33.790104, -84.364876)",A
56,30309,Midtown High School,"Midtown High School, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 7 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",929 Charles Allen Drive Northeast,Atlanta,GA,(404) 802-3001,Fulton County,33.780567,-84.372711,Atlanta Public Schools,4.0,7,"(33.780567, -84.372711)",A-
